2 tone,6
2-step,12
aak,15
abhang,21
aboio,26
abstract hip hop,42
acid breaks,53
acid house,63
acid jazz,72
acid rock,81
acid techno,92
acid trance,103
acidcore,111
acousmatic,121
acoustic blues,135
acoustic chicago blues,157
acoustic rock,170
acoustic texas blues,190
adhunik geet,202
afoxe,207
african blues,220
afro house,230
afro rock,239
afro trap,248
afro-cuban jazz,263
afro-funk,272
afro-jazz,281
afro-zouk,290
afrobeat (funk/soul + West African sounds),332
afrobeats (West African urban/pop music),372
afropiano,381
afroswing,390
agbadza,397
agbekor,404
aggrotech,413
ahwash,419
aita,423
akishibu-kei,435
al jeel,442
algerian chaabi,457
algorave,465
alloukou,473
alpenrock,482
alternative country,501
alternative dance,518
alternative folk,534
alternative hip hop,553
alternative metal,570
alternative pop,585
alternative punk,601
alternative rock,617
amapiano,625
ambasse bey,636
ambient,643
ambient americana,660
ambient dub,671
ambient house,684
ambient noise wall,702
ambient pop,713
ambient techno,727
ambient trance,741
ambrosian chant,756
american primitive guitar,781
americana,790
anarcho-punk,802
anatolian rock,816
andalusian classical,836
anglican chant,850
animal sounds,863
anti-folk,872
aor,875
apala,880
appalachian folk,896
arabesk,903
arabesk rap,914
arena rock,924
arrocha,931
arrocha funk,943
arrocha sertanejo,960
arrochadeira,972
ars antiqua,983
ars nova,991
ars subtilior,1004
art pop,1011
art punk,1019
art rock,1027
art song,1035
artcore,1042
asmr,1046
assiko,1052
atmospheric black metal,1075
atmospheric drum and bass,1100
atmospheric sludge metal,1124
audio drama,1135
avant-folk,1145
avant-garde,1156
avant-garde jazz,1172
avant-garde metal,1189
avant-garde pop,1204
avant-prog,1214
avtorskaya pesnya,1231
axe,1234
bachata,1241
bagad,1246
baiao,1251
baila,1256
baisha xiyue,1268
baithak gana,1280
bakersfield sound,1297
balani show,1308
balearic beat,1321
balearic trance,1336
balinese gamelan,1352
balitaw,1359
ballad,1365
ballad opera,1377
ballet,1383
ballroom house,1397
baltimore club,1411
bambuco,1418
banda sinaloense,1434
bandari,1441
bandinha,1449
barber beats,1461
barbershop,1471
bard rock,1480
bardcore,1488
baroque,1495
baroque pop,1506
baroque suite,1519
bass house,1529
bassline,1537
batida,1543
batidao romantico,1560
battle rap,1570
batucada,1578
batuque,1585
baul gaan,1594
beat bruxaria,1607
beat music,1617
beat poetry,1628
beatboxing,1638
beatdown hardcore,1655
bebop,1660
bedroom pop,1671
beijing opera,1684
bele,1688
belgian techno,1702
bend-skin,1711
benga,1716
benna,1721
berite club,1732
berlin school,1745
bhajan,1751
bhangra,1758
bhavageethe,1769
big band,1777
big beat,1785
big room house,1799
big room trance,1814
biguine,1821
bikutsi,1828
binaural beats,1842
birdsong,1850
birmingham sound,1866
bit music,1875
bitpop,1881
black 'n' roll,1895
black ambient,1908
black metal,1919
black midi,1929
black noise,1940
blackened crust,1955
blackened death metal,1976
blackgaze,1985
bleep techno,1997
blue-eyed soul,2011
bluegrass,2020
bluegrass gospel,2036
blues,2041
blues rock,2051
bocet,2056
boduberu,2064
boedra,2070
bogino duu,2080
bolero (Cuban song),2099
bolero espanol,2113
bolero son,2123
bolero-beat,2134
bomba,2139
bomba del chota,2154
bongo flava,2165
boogaloo,2173
boogie,2179
boogie rock,2190
boogie-woogie,2203
boom bap,2211
bossa nova,2221
bounce,2227
bouncy techno,2240
bouyon,2246
brass band,2256
brazilian bass,2270
break-in,2278
breakbeat,2287
breakbeat hardcore,2305
breakbeat kota,2319
breakcore,2328
breaks,2334
breakstep,2343
brega,2348
brega calypso,2361
brega funk,2371
brill building,2385
brit funk,2394
britcore,2402
british blues,2415
british brass band,2433
british folk rock,2450
british rhythm & blues,2472
britpop,2479
bro-country,2490
broken beat,2501
broken transmission,2520
brostep,2527
brutal death metal,2545
brutal prog,2556
bubblegum bass,2570
bubblegum dance,2585
bubblegum pop,2598
bubbling,2606
bubbling house,2620
budots,2626
bullerengue,2637
burger-highlife,2652
burmese classical,2669
burmese mono,2681
burmese stereo,2695
burning spirits,2710
bytebeat,2718
byzantine chant,2733
c-pop,2738
c86,2741
ca tru,2747
cabaret,2754
cabo zouk,2763
cadence lypso,2776
cadence rampa,2789
cai luong,2798
cajun,2803
cakewalk,2811
calgija,2818
calypso,2825
campursari,2835
campus folk,2846
cancion melodica,2862
candombe,2870
candombe beat,2883
cantata,2890
cante alentejano,2906
canterbury scene,2922
canto a lo poeta,2938
canto cardenche,2953
cantonese opera,2968
cantopop,2976
cantoria,2984
cantu a tenore,2998
canzone napoletana,3016
canzone neomelodica,3035
cape breton fiddling,3055
cape jazz,3064
carimbo,3071
carnatic classical,3089
carnavalito,3100
carranga,3108
celtic,3114
celtic electronica,3132
celtic metal,3144
celtic new age,3158
celtic punk,3169
celtic rock,3180
central asian throat singing,3208
chacarera,3217
chachacha,3226
chalga,3232
chamame,3239
chamarrita acoriana,3258
chamarrita rioplatense,3280
chamber folk,3292
chamber pop,3303
champeta,3311
changa tuki,3322
changui,3329
chanson a texte,3344
chanson francaise,3361
chanson realiste,3377
charanga,3385
chazzanut,3394
cheo,3398
chicago blues,3411
chicago bop,3422
chicago drill,3435
chicago house,3448
chicago soul,3460
chicano rap,3471
chilena,3478
chillout,3486
chillstep,3495
chillsynth,3505
chillwave,3514
chimurenga,3524
chinese classical,3541
chinese opera,3554
chinese revolutionary opera,3581
chipmunk soul,3594
chiptune,3602
chopped and screwed,3621
choral symphony,3636
choro,3641
chotis madrileno,3657
christian hip hop,3674
christian metal,3689
christian rock,3703
christmas music,3718
church music,3730
chutney,3737
chutney soca,3749
cilokaq,3756
ciranda,3763
circus march,
city pop,
classic blues,
classic country,
classic jazz,
classic rock,
classical,
classical crossover,
classical period,
close harmony,
cloud rap,
club,
cocktail nation,
coco,
coladeira,
coldwave,
colinda,
colour bass,
comedy,
comedy hip hop,
comedy rock,
comfy synth,
compas,
complextro,
concerto,
concerto grosso,
conducted improvisation,
conga,
congolese rumba,
conscious hip hop,
contemporary christian,
contemporary classical,
contemporary country,
contemporary folk,
contemporary gospel,
contemporary jazz,
contemporary r&b,
contra,
cool jazz,
coon song,
copla,
corrido,
corrido tumbado,
country,
country and irish,
country blues,
country boogie,
country folk,
country gospel,
country pop,
country rap,
country rock,
country soul,
country yodeling,
countrypolitan,
coupe-decale,
cowpunk,
crack rock steady,
crime jazz,
crossbreed,
crossover jazz,
crossover prog,
crossover thrash,
cruise,
crunk,
crunkcore,
crust punk,
csardas,
cuarteto,
cubaton,
cueca,
cumbia,
cumbia argentina,
cumbia colombiana,
cumbia mexicana,
cumbia nortena mexicana,
cumbia peruana,
cumbia pop,
cumbia santafesina,
cumbia sonidera,
cumbia turra,
cumbia villera,
cuple,
currulao,
cyber metal,
cybergrind,
cyberpunk,
d-beat,
dabke,
dance,
dance-pop,
dance-punk,
dance-rock,
dancefloor drum and bass,
dancehall,
dangak,
dangdut,
danmono,
dansband,
dansktop,
danzon,
dark ambient,
dark cabaret,
dark electro,
dark folk,
dark jazz,
dark plugg,
dark psytrance,
dark wave,
darkcore,
darkstep,
darksynth,
data sonification,
death 'n' roll,
death industrial,
death metal,
death-doom metal,
deathcore,
deathgrind,
deathrock,
deathstep,
deconstructed club,
deep funk,
deep house,
deep soul,
deep tech,
deep techno,
delta blues,
dembow,
dennery segment,
denpa,
depressive black metal,
descarga,
desert blues,
desert rock,
detroit techno,
detroit trap,
dhaanto,
dhrupad,
digicore,
digital cumbia,
digital fusion,
digital hardcore,
dimotiko,
dirty south,
disco,
disco polo,
dissonant death metal,
diva house,
dixieland,
djanba,
djent,
dobrado,
doina,
dongjing,
donk,
donosti sound,
doo-wop,
doom metal,
doomcore,
doskpop,
downtempo,
dream pop,
dream trance,
dreampunk,
drift phonk,
drill,
drill and bass,
drone,
drone metal,
drum and bass,
drumfunk,
drumless hip hop,
drumline,
drumstep,
dub,
dub poetry,
dub techno,
dubstep,
dubstyle,
dubwise,
duma,
dunedin sound,
dungeon sound,
dungeon synth,
duranguense,
dutch house,
eai,
east coast hip hop,
easy listening,
easycore,
ebm,
edm,
electric blues,
electric texas blues,
electro,
electro house,
electro latino,
electro swing,
electro-disco,
electro-funk,
electro-industrial,
electroacoustic,
electroclash,
electronic,
electronic rock,
electronica,
electronicore,
electropop,
electropunk,
electrotango,
eleki,
embolada,
emo,
emo pop,
emo rap,
emocore,
emoviolence,
enka,
entekhno,
epic collage,
epic doom metal,
estrada,
ethereal wave,
ethio-jazz,
etude,
euphoric hardstyle,
euro house,
euro-disco,
euro-trance,
eurobeat,
eurodance,
europop,
euskal kantagintza berria,
exotica,
experimental,
experimental big band,
experimental electronic,
experimental hip hop,
experimental rock,
expressionism,
extratone,
fado,
fado de coimbra,
fairy tale,
fakaseasea,
falak,
famo,
fandango,
fandango caicara,
fantasia,
fantezi,
festejo,
festival progressive house,
festival trap,
fidget house,
field recording,
fife and drum,
fife and drum blues,
filin,
filk,
filmi,
finnish tango,
flamenco,
flamenco jazz,
flamenco pop,
flashcore,
flex dance music,
florida breaks,
fm synthesis,
folk,
folk metal,
folk pop,
folk punk,
folk rock,
folkhop,
folktronica,
fon leb,
footwork,
footwork jungle,
forest psytrance,
forro,
forro eletronico,
forro universitario,
freak folk,
freakbeat,
free folk,
free improvisation,
free jazz,
free tekno,
freeform hardcore,
freestyle,
french electro,
french house,
frenchcore,
frevo,
fuji,
full-on,
funana,
funeral doom metal,
fungi,
funk,
funk carioca,
funk mandelao,
funk melody,
funk metal,
funk ostentacao,
funk proibidao,
funk rock,
funknejo,
funkot,
funktronica,
funky house,
future bass,
future bounce,
future core,
future funk,
future garage,
future house,
future rave,
future riddim,
futurepop,
futurism,
g-funk,
g-house,
gabber,
gaelic psalm singing,
gagaku,
gagok,
gaita zuliana,
gambang kromong,
gamelan,
gamelan angklung,
gamelan beleganjur,
gamelan degung,
gamelan gender wayang,
gamelan gong gede,
gamelan gong kebyar,
gamelan jegog,
gamelan joged bumbung,
gamelan salendro,
gamelan sekaten,
gamelan selunding,
gamelan semar pegulingan,
gamelan siteran,
gangsta rap,
garage house,
garage punk,
garage rock,
garage rock revival,
garba,
geek rock,
genge,
ghana,
ghazal,
ghetto house,
ghettotech,
ginan,
glam,
glam metal,
glam punk,
glam rock,
glitch,
glitch hop,
glitch hop edm,
glitch pop,
gnawa,
go-go,
goa trance,
gondang,
goombay,
goregrind,
gorenoise,
gospel,
gospel house,
gospel reggae,
gothic,
gothic country,
gothic metal,
gothic rock,
gqom,
grand opera,
grebo,
gregorian chant,
grime,
grindcore,
griot,
groove metal,
group sounds,
grunge,
guaguanco,
guajira,
guaracha (Cuban),
guaracha edm (Colombian electronic genre),
guarania,
guided meditation,
gumbe,
guoyue,
gwo ka,
gypsy jazz,
gypsy punk,
habanera,
haitian vodou drumming,
halftime,
hambo,
hamburger schule,
hands up,
happy hardcore,
harawi,
hard bop,
hard drum,
hard house,
hard nrg,
hard rock,
hard techno,
hard trance,
hard trap,
hardbag,
hardbass,
hardcore breaks,
hardcore hip hop,
hardcore punk,
hardcore techno,
hardgroove techno,
hardstep,
hardstyle,
hardvapour,
hardwave,
harsh noise,
harsh noise wall,
hat tuồng,
hauntology,
heartland rock,
heaven trap,
heavy metal,
heavy psych,
heikyoku,
hexd,
hi-nrg,
hi-tech,
highlife,
hill country blues,
himene tarava,
hindustani classical,
hip hop,
hip hop soul,
hip house,
hiplife,
holy minimalism,
honky tonk,
honkyoku,
hopepunk,
horror punk,
horror synth,
horrorcore,
house,
huapango,
huayno,
humppa,
hyangak,
hybrid trap,
hyperpop,
hyphy,
hypnagogic pop,
idm,
idol kayo,
illbient,
impressionism,
indeterminacy,
indian classical,
indian pop,
indie folk,
indie pop,
indie rock,
indie surf,
indietronica,
indo jazz,
indorock,
industrial,
industrial hardcore,
industrial hip hop,
industrial metal,
industrial musical,
industrial rock,
industrial techno,
instrumental,
instrumental hip hop,
instrumental jazz,
instrumental rock,
integral serialism,
interview,
iraqi maqam,
irish folk,
isicathamiya,
islamic modal music,
italo dance,
italo house,
italo-disco,
izlan,
j-core,
j-pop,
j-rock,
jacara,
jaipongan,
jam band,
jamaican ska,
james bay fiddling,
jamgrass,
jangle pop,
japanese classical,
javanese gamelan,
jazz,
jazz blues,
jazz fusion,
jazz poetry,
jazz pop,
jazz rap,
jazz rock,
jazz-funk,
jazzstep,
jeongak,
jerk rap,
jersey club,
jersey drill,
jersey sound,
jesus music,
jiangnan sizhu,
jit,
jiuta,
joik,
jongo,
joropo,
joruri,
jota,
jovem guarda,
jug band,
juju,
juke,
jump blues,
jump up,
jumpstyle,
jungle,
jungle dutch,
jungle terror,
junkanoo,
k-pop,
kabarett (German political satire),
kacapi suling,
kadongo kamu,
kafi,
kagura,
kalindula,
kalon'ny fahiny,
kaneka,
kantan chamorrita,
kanto,
kapuka,
kaseko (Suriname),
kaseko (Guiana),
kawaii future bass,
kawaii metal,
kayōkyoku,
kecak,
keroncong,
khrueang sai,
khyal,
kidandali,
kidumbak,
kilapanga,
kirtan,
kizomba,
klapa,
kleinkunst,
klezmer,
kliningan,
konsrock,
koplo,
korean ballad,
korean classical,
korean revolutionary opera,
kouta,
krakowiak,
krautrock,
kuda lumping,
kuduro,
kujawiak,
kulintang,
kumi-daiko,
kumiuta,
kundiman,
kwaito,
kwassa kwassa,
kwela,
laiko,
lambada,
lando,
langgam jawa,
latin,
latin ballad,
latin disco,
latin funk,
latin house,
latin jazz,
latin pop,
latin rock,
latin soul,
lavani,
lecture,
leftfield,
lento violento,
levenslied,
lied,
liedermacher,
liquid funk,
liscio,
livetronica,
lo-fi,
lo-fi hip hop,
lo-fi house,
lolicore,
louisiana blues,
lounge,
lovers rock,
lowercase,
luk krung,
luk thung,
lundu,
lute song,
mad,
madchester,
maddahi,
madrigal,
maftirim,
mahori,
mahraganat,
mainstream rock,
makina,
makossa,
malaguena venezolana,
malay gamelan,
malhun,
mallsoft,
maloya,
mambo,
mambo chileno,
mambo urbano,
mandopop,
manele,
mangue beat,
manila sound,
manyao,
marabi,
maracatu,
march,
marching band,
marchinha,
mariachi,
marinera,
marrabenta,
martial industrial,
mashcore,
maskanda,
mass,
math pop,
math rock,
mathcore,
maxixe,
mazurka,
mbalax,
mbaqanga,
mbube,
medieval,
medieval lyric poetry,
medieval metal,
medieval rock,
meiji shinkyoku,
melbourne bounce,
melodic black metal,
melodic death metal,
melodic dubstep,
melodic hardcore,
melodic metalcore,
melodic techno,
melodic trance,
melodie,
memphis rap,
mento,
merecumbe,
merengue,
merengue tipico,
merenhouse,
merequetengue,
meringue,
metal,
metalcore,
meyxana,
miami bass,
microhouse,
microsound,
microtonal classical,
midtempo bass,
midwest emo,
miejski folk,
milonga,
min'yo,
minatory,
mincecore,
minimal drum and bass,
minimal synth,
minimal techno,
minimal wave,
minimalism,
minneapolis sound,
minstrelsy,
mobb music,
mod,
mod revival,
moda de viola,
modal jazz,
modern blues,
modern classical,
modern creative,
modern hardtek,
modern laiko,
modinha,
monodrama,
mood kayō,
moogsploitation,
moombahcore,
moombahton,
mor lam,
mor lam sing,
morna,
moroccan chaabi,
motet,
motown,
moutya,
movimiento alterado,
mpb,
mugham,
muineira,
mulatos,
muliza,
murga,
murga uruguaya,
musette,
music hall,
musica cebolla,
musica criolla,
musica de intervencao,
musical,
musique concrete,
musique concrete instrumentale,
muziki wa dansi,
nagauta,
narcocorrido,
narodnozabavna glasba,
nasheed,
nashville sound,
nature sounds,
natya sangeet,
nederbeat,
nederpop,
neo kyma,
neo soul,
neo-acoustic,
neo-medieval folk,
neo-progressive rock,
neo-psychedelia,
neo-rockabilly,
neo-trad,
neo-traditional country,
neoclassical dark wave,
neoclassical metal,
neoclassical new age,
neoclassicism,
neocrust,
neofolk,
neoperreo,
nerdcore,
nerdcore techno,
neue deutsche harte,
neue deutsche welle,
neurofunk,
neurohop,
new age,
new beat,
new complexity,
new jack swing,
new orleans blues,
new orleans r&b,
new rave,
new romantic,
new wave,
ngoma,
nhac do,
nhac vang,
night full-on,
nightcore,
nigun,
nintendocore,
nitzhonot,
njuup,
no melody trap,
no wave,
nocturne,
noh,
noise,
noise pop,
noise rock,
noisecore,
non-music,
nortec,
norteno,
northern soul,
nouveau zydeco,
nova canco,
novelty piano,
novo dub,
nu disco,
nu jazz,
nu metal,
nu skool breaks,
nu style gabber,
nueva cancion,
nueva cancion chilena,
nueva cancion espanola,
nueva cumbia chilena,
nueva trova,
nuevo cancionero,
nuevo flamenco,
nuevo tango,
nwobhm,
nyu myujikku,
oberek,
occult rock,
odissi classical,
oi,
old school death metal,
old school hip hop,
old-time,
onda nueva,
ondo,
onkyo,
opera,
opera buffa,
opera comique,
opera semiseria,
opera seria,
opera-ballet,
operatic pop,
operetta,
opm,
oratorio,
orchestral,
orchestral jazz,
orchestral song,
organic house,
oriental ballad,
orthodox pop,
outlaw country,
outsider house,
overture,
ozgun muzik,
p-funk,
pachanga,
pacific reggae,
pagan black metal,
pagan folk,
pagodao,
pagode,
pagode romantico,
paisley underground,
palingsound,
palm-wine,
pansori,
parang,
partido alto,
pasillo,
pasodoble,
payada,
peak time techno,
pep band,
persian classical,
persian pop,
philly club,
philly soul,
phleng phuea chiwit,
phonk,
piano blues,
piano rock,
picopop,
piedmont blues,
pilon,
pimba,
pinpeat,
piobaireachd,
pipe band music,
piphat,
piseiro,
piyyut,
pizzica,
plainchant,
plena,
plugg,
pluggnb,
plunderphonics,
poetry,
polca criolla,
political hip hop,
polka,
polonaise,
pon-chak disco,
pop,
pop ghazal,
pop metal,
pop punk,
pop rai,
pop rap,
pop rock,
pop soul,
pop yeh-yeh,
porn groove,
pornogrind,
porro,
post-bop,
post-britpop,
post-classical,
post-grunge,
post-hardcore,
post-industrial,
post-metal,
post-minimalism,
post-punk,
post-punk revival,
post-rock,
powada,
power electronics,
power metal,
power noise,
power pop,
power soca,
powerviolence,
praise & worship,
prank calls,
prelude,
production music,
progressive,
progressive bluegrass,
progressive breaks,
progressive country,
progressive electronic,
progressive folk,
progressive house,
progressive metal,
progressive pop,
progressive psytrance,
progressive rock,
progressive trance,
proto-punk,
psybient,
psychedelic,
psychedelic folk,
psychedelic pop,
psychedelic rock,
psychedelic soul,
psychobilly,
psycore,
psystyle,
psytrance,
pub rock,
punk,
punk blues,
punk rap,
punk rock,
punta,
punto,
purple sound,
q-pop,
qaraami,
qasidah modern,
qawwali,
quan họ,
queercore,
quiet storm,
quyi,
r&b,
rabiz,
raga rock,
ragga,
ragga hip-hop,
ragga jungle,
raggacore,
ragtime,
rai,
ranchera,
rap metal,
rap rock,
rapcore,
rapso,
rara,
rasin,
rasqueado cuiabano,
rasteirinha,
rautalanka,
rave,
rawphoric,
rawstyle,
rebetiko,
red dirt,
red song,
reductionism,
reggae,
reggae-pop,
reggaeton,
regional mexicano,
renaissance,
repente,
requiem,
revue,
"rhumba (US ""ballroom rumba"")",
riddim dubstep,
rigsar,
riot grrrl,
ripsaw,
ritual ambient,
rizitika,
rkt,
rock,
rock and roll,
rock andaluz,
rock andino,
rock musical,
rock opera,
rock urbano,
rockabilly,
rocksteady,
rokyoku,
rom kbach,
romanian popcorn,
romantic classical,
romantische oper,
roots reggae,
roots rock,
rumba,
rumba catalana,
rumba cubana,
rumba flamenca,
runo song,
russian chanson,
russian romance,
ryukoka,
sacred harp,
sacred steel,
saeta,
salegy,
salsa,
salsa choke,
salsa dura,
salsa romantica,
saluang klasik,
samba,
samba de breque,
samba de gafieira,
samba de roda,
samba de terreiro,
samba soul,
samba-cancao,
samba-choro,
samba-enredo,
samba-exaltacao,
samba-jazz,
samba-joia,
samba-reggae,
samba-rock,
sambalanco,
sambass,
sanjo,
sante engage,
sarala gee,
sardana,
sasscore,
sawt,
saya afroboliviana,
schlager,
schottische,
schranz,
screamo,
scrumpy and western,
sea shanty,
sean-nos,
seapunk,
sega,
seggae,
seguidilla,
semba,
semi-trot,
serenade,
serialism,
sertanejo,
sertanejo raiz,
sertanejo romantico,
sertanejo universitario,
seto leelo,
sevdalinka,
sevillanas,
shaabi,
shan'ge,
shangaan electro,
shanto,
shashmaqam,
shatta,
shibuya-kei,
shidaiqu,
shima-uta,
shinkyoku,
shoegaze,
shomyo,
sierreno,
sigidrigi,
sigilkore,
sinawi,
singeli,
singer-songwriter,
singspiel,
ska,
ska punk,
skacore,
skate punk,
sketch comedy,
skiffle,
skiladiko,
skinhead reggae,
skullstep,
skweee,
slack-key guitar,
slacker rock,
slam death metal,
slam poetry,
slap house,
slow waltz,
slowcore,
sludge metal,
slushwave,
smooth jazz,
smooth soul,
snap,
soca,
soft rock,
sokyoku,
son calentano,
son cubano,
son huasteco,
son istmeno,
son jarocho,
son montuno,
sonata,
songo,
sonorism,
sophisti-pop,
soukous,
soul,
soul blues,
soul jazz,
sound art,
sound collage,
sound effects,
sound poetry,
southeast asian classical,
southern gospel,
southern hip hop,
southern metal,
southern rock,
southern soul,
sovietwave,
space age pop,
space ambient,
space disco,
space rock,
space rock revival,
spacesynth,
spectralism,
speech,
speed garage,
speed house,
speed metal,
speedcore,
spirituals,
splittercore,
spoken word,
spouge,
standup comedy,
steampunk,
stenchcore,
stochastic music,
stoner metal,
stoner rock,
stornello,
street punk,
stride,
sufi rock,
sufiana kalam,
sundanese pop,
sungura,
sunshine pop,
suomisaundi,
surf,
surf punk,
surf rock,
sutartinės,
swamp blues,
swamp pop,
swamp rock,
swancore,
swing,
swing revival,
symphonic black metal,
symphonic metal,
symphonic poem,
symphonic prog,
symphonic rock,
symphony,
synth funk,
synth-pop,
synthwave,
taarab,
tajaraste,
takamba,
talempong,
talking blues,
tallava,
tamborera,
tamborito,
tammurriata,
tango,
tanjidor,
tape music,
taquirari,
tarantella,
tarraxinha,
tassu,
tchinkoume,
tech house,
tech trance,
technical death metal,
technical thrash metal,
techno,
techno bass,
techno kayō,
technobanda,
techstep,
tecnobrega,
tecnofunk,
tecnorumba,
teen pop,
tejano,
tembang cianjuran,
terrorcore,
tex-mex,
texas blues,
texas country,
thai classical,
third stream,
third wave ska,
thrash metal,
thrashcore,
thumri,
tiento,
timba,
timbila,
tin pan alley,
tizita,
toccata,
tonada potosina,
tonadilla,
tondero,
totalism,
township bubblegum,
township jive,
tradi-modern,
traditional black gospel,
traditional country,
traditional doom metal,
traditional pop,
tragedie en musique,
trallalero,
trampska hudba,
trance,
trance metal,
trancestep,
trap,
trap edm,
trap metal,
trap shaabi,
tread,
tribal ambient,
tribal guarachero,
tribal house,
trip hop,
tropical house,
tropical rock,
tropicalia,
tropicanibalismo,
tropipop,
trot,
trova,
trova yucateca,
truck driving country,
tsapiky,
tsonga disco,
tsugaru-jamisen,
tumba,
tumba francesa,
tumbele,
turbo-folk,
turkish classical,
turntablism,
twee pop,
twerk,
uk drill,
uk funky,
uk garage,
uk hardcore,
uk street soul,
uk82,
underground hip hop,
unyago,
upopo,
uptempo hardcore,
urban cowboy,
urtiin duu,
urumi melam,
utopian virtual,
uzun hava,
v-pop,
vallenato,
vals criollo,
valsa brasileira,
vanera,
vaportrap,
vaporwave,
vaudeville,
vaudeville blues,
verbunkos,
verismo,
vietnamese bolero,
vietnamese classical,
viking metal,
viking rock,
vinahouse,
visa,
visual kei,
vocal house,
vocal jazz,
vocal surf,
vocal trance,
volkstumliche musik,
vude,
waka,
waltz,
war metal,
wassoulou,
waulking song,
wave,
weightless,
west coast hip hop,
west coast swing,
western (cowboy/western country),
western classical,
western swing,
whale song,
whistling,
white voice,
winter synth,
witch house,
wong shadow,
wonky,
wonky techno,
world fusion,
xote,
xuc,
yacht rock,
yakousei,
yaravi,
yayue,
ye-ye,
yodeling,
ytpmv,
yu-mex,
yue opera,
yukar,
zamacueca,
zamba,
zamrock,
zarzuela,
zeitoper,
zeuhl,
zeybek,
zhongguo feng,
ziglibithy,
zinli,
znamenny chant,
zoblazo,
zohioliin duu,
zolo,
zouglou,
zouk,
zouk love,
zydeco,
